"No.","Time","Source","Destination","Protocol","Length","Info"
"18","1.085860","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:803::2004","QUIC","1292","Initial, DCID=9809c2b53c98dc7c, PKN: 1, PING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PING, PING, PADDING, PING, PADDING, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO"
"19","1.085885","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:803::2004","HTTP3","142","0-RTT, DCID=9809c2b53c98dc7c, PKN: 2, STREAM(2), SETTINGS"
"20","1.133064","2a00:1450:4028:803::2004","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","1292","Initial, SCID=d809c2b53c98dc7c, PKN: 1, ACK, PADDING"
"24","1.168867","2a00:1450:4028:803::2004","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","HTTP3","1292","Protected Payload (KP0), PKN: 4, STREAM(3), SETTINGS"
"25","1.169876","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:803::2004","QUIC","141","Handshake, DCID=d809c2b53c98dc7c, PKN: 3, ACK, CRYPTO"
"26","1.170100","2a00:1450:4028:803::2004","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","853","Protected Payload (KP0), PKN: 5, CRYPTO"
"27","1.170455","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:803::2004","QUIC","93","Protected Payload (KP0), DCID=d809c2b53c98dc7c, PKN: 4, ACK"
"28","1.170627","2a00:1450:4028:803::2004","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","235","Protected Payload (KP0), PKN: 6, CRYPTO"
"29","1.171157","2a00:1450:4028:803::2004","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","86","Protected Payload (KP0), PKN: 7, ACK"
"32","1.184954","2a00:1450:4028:803::2004","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","182","Protected Payload (KP0), PKN: 8, DONE, NT, NCI"
"33","1.185275","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:803::2004","QUIC","93","Protected Payload (KP0), DCID=d809c2b53c98dc7c, PKN: 5, ACK"
"1779","11.439476","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","1292","Initial, DCID=357b377757756b05, PKN: 1, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING"
"1780","11.439691","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","HTTP3","138","0-RTT, DCID=357b377757756b05, PKN: 2, STREAM(2), SETTINGS"
"1954","11.547873","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","1292","Initial, DCID=357b377757756b05, PKN: 4, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PING, CRYPTO, PADDING, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, PADDING"
"2315","11.758635","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","1292","Initial, SCID=f57b377757756b05, PKN: 1, ACK, PADDING"
"2374","11.783385","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","HTTP3","1292","Protected Payload (KP0), PKN: 4, STREAM(3), SETTINGS"
"2375","11.783978","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","851","Protected Payload (KP0), PKN: 5, CRYPTO"
"2376","11.784162","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","140","Handshake, DCID=f57b377757756b05, PKN: 5, ACK, CRYPTO"
"2377","11.784314","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","93","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 6, ACK"
"2378","11.784468","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","247","Protected Payload (KP0), PKN: 6, CRYPTO"
"2379","11.784671","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","HTTP3","1288","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 7, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS"
"2380","11.784742","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","86","Protected Payload (KP0), PKN: 7, ACK"
"2381","11.784744","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","1292","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 8, STREAM(0)"
"2382","11.784806","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","1158","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 9, STREAM(0)"
"2463","11.821281","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","95","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 10, ACK"
"2468","11.822789","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","HTTP3","1292","Protected Payload (KP0), PKN: 10, STREAM(3), SETTINGS"
"2469","11.823087","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","HTTP3","1292","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 12, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS"
"2473","11.825251","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","1292","Protected Payload (KP0), PKN: 14, CRYPTO"
"2474","11.825509","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","HTTP3","1292","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 14, ACK, STREAM(2), PRIORITY_UPDATE, STREAM(10), STREAM(0), HEADERS"
"2477","11.827153","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","184","Protected Payload (KP0), PKN: 15, DONE, NT, NCI"
"2478","11.827375","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","97","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 15, ACK"
"2479","11.830518","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","HTTP3","91","Protected Payload (KP0), PKN: 16, ACK, STREAM(7)"
"2480","11.830740","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","97","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 16, ACK"
"2481","11.830792","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","87","Protected Payload (KP0), PKN: 17, ACK"
"2482","11.831058","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","87","Protected Payload (KP0), PKN: 18, ACK"
"2484","11.835485","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","89","Protected Payload (KP0), PKN: 19, ACK"
"2485","11.837625","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","91","Protected Payload (KP0), PKN: 20, ACK"
"2911","12.053957","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","91","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 17, PADDING, PING"
"2912","12.063079","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","89","Protected Payload (KP0), PKN: 21, ACK"
"2913","12.164835","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","191","Protected Payload (KP0), PKN: 24, PADDING, STREAM(0)"
"2914","12.164835","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","HTTP3","925","Protected Payload (KP0), PKN: 22, STREAM(11), STREAM(0), HEADERS, DATA"
"2915","12.164835","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","HTTP3","96","Protected Payload (KP0), PKN: 23, STREAM(0), DATA"
"2916","12.165269","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","95","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 18, ACK"
"2917","12.165470","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","HTTP3","99","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 19, ACK, STREAM(6)"
"2918","12.165532","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","2a00:1450:4028:808::200e","QUIC","93","Protected Payload (KP0), DCID=f57b377757756b05, PKN: 20, ACK"
"2921","12.200514","2a00:1450:4028:808::200e","2a06:c701:46db:1a00:21d9:6346:9b9b:3579","QUIC","86","Protected Payload (KP0), PKN: 25, ACK"
